<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
22/07/02,000000,5150.0000000,5159.0000000,4570.0000000,4927.0000000,80543
29/07/02,000000,4882.0000000,5099.9900000,4575.0000000,4652.0000000,27519
05/08/02,000000,4641.0000000,4689.8900000,4155.0200000,4533.0000000,28990
12/08/02,000000,4420.0000000,4764.0000000,4420.0000000,4764.0000000,13208
19/08/02,000000,4705.0000000,5025.0000000,4700.0000000,4888.0000000,24497
26/08/02,000000,4900.0000000,4979.9900000,4715.2000000,4758.0000000,17513
02/09/02,000000,4750.0000000,4757.0000000,4561.0000000,4700.0000000,12242
09/09/02,000000,4700.0000000,5310.0000000,4650.0000000,5060.0000000,92255
16/09/02,000000,5060.0000000,5099.5000000,4690.0100000,4850.0000000,45144
23/09/02,000000,4845.0000000,5100.0000000,4800.0000000,5078.0000000,49339
30/09/02,000000,4992.0000000,5690.0000000,4950.0000000,5689.9900000,78270
07/10/02,000000,5581.0000000,5700.0000000,5355.0000000,5479.9000000,41379
14/10/02,000000,5481.0000000,5711.0000000,5407.0300000,5655.0000000,35648
21/10/02,000000,5640.0000000,5878.0000000,5581.0000000,5672.0000000,62362
28/10/02,000000,5698.9900000,6098.0000000,5575.0000000,6088.0000000,72059
04/11/02,000000,6120.0000000,6269.9600000,5970.0100000,5940.0000000,28462
11/11/02,000000,5940.0000000,6134.0000000,5801.0000000,6000.0000000,68132
18/11/02,000000,6007.0000000,6267.0000000,6007.0000000,6239.9900000,54236
25/11/02,000000,6222.0000000,6479.0000000,6152.0100000,6460.0000000,40834
02/12/02,000000,6459.9900000,6530.0000000,6250.0000000,6390.0000000,60175
09/12/02,000000,6370.0000000,6409.9900000,6053.0000000,6196.8800000,28064
16/12/02,000000,6224.0000000,6230.0000000,5924.0000000,6080.0000000,60480
23/12/02,000000,6097.0000000,6106.9900000,5662.0000000,6038.0000000,38041
30/12/02,000000,6036.0000000,6155.0000000,5990.0000000,6145.0000000,8513
06/01/03,000000,6145.0000000,6285.0000000,5960.0000000,6261.0000000,29188
13/01/03,000000,6231.0000000,6360.0000000,6122.0000000,6122.0000000,43041
20/01/03,000000,6125.0000000,6276.0000000,5950.0000000,6030.0000000,48103
27/01/03,000000,6008.9900000,6130.0000000,5930.0000000,6040.0000000,40756
03/02/03,000000,6022.0000000,6177.0000000,6001.0000000,6105.0000000,24236
10/02/03,000000,6100.0000000,6349.9700000,6085.0000000,6330.0000000,42795
17/02/03,000000,6349.0000000,6667.0000000,6333.3300000,6660.0100000,76006
24/02/03,000000,6660.0000000,6774.9900000,6620.0000000,6668.0000000,34823
03/03/03,000000,6686.0000000,7099.0000000,6656.0000000,6826.0000000,73148
10/03/03,000000,6820.0000000,6920.0000000,6720.0000000,6781.0000000,29948
17/03/03,000000,6770.0000000,6779.9900000,6415.0000000,6647.0000000,35553
24/03/03,000000,6675.9900000,6675.9900000,6380.0000000,6535.0000000,25218
31/03/03,000000,6520.0000000,6649.9900000,6300.0000000,6643.0000000,32806
07/04/03,000000,6643.0000000,6842.0000000,6640.0000000,6725.9900000,42368
14/04/03,000000,6779.0000000,7024.4200000,6652.0000000,6999.9900000,56673
21/04/03,000000,7028.0000000,7220.0000000,7000.0000000,7129.5000000,88624
28/04/03,000000,7120.0000000,7199.0000000,7049.9000000,7052.0000000,17148
05/05/03,000000,7130.0000000,7389.0000000,7056.0000000,7332.0000000,53270
12/05/03,000000,7351.0000000,8300.0000000,7260.0000000,8060.0000000,80562
19/05/03,000000,8070.0000000,8299.0000000,7805.0100000,8295.0000000,60622
26/05/03,000000,8300.0000000,8500.0000000,8000.0000000,8070.0000000,61910
02/06/03,000000,8124.9000000,8269.0000000,7910.0000000,8172.0000000,50628
09/06/03,000000,8150.0000000,8335.0000000,7940.0000000,8290.0000000,37985
16/06/03,000000,8293.5000000,8698.0000000,8265.0100000,8356.0000000,63852
23/06/03,000000,8380.0000000,8680.0000000,8200.0000000,8568.0000000,29688
30/06/03,000000,8570.0000000,8636.0000000,8315.0000000,8599.0100000,33313
07/07/03,000000,8595.0000000,8700.0000000,7525.0000000,7970.0000000,49740
14/07/03,000000,7972.5000000,8210.0000000,7202.0000000,7501.0600000,51142
21/07/03,000000,7545.0000000,7800.0000000,7350.0000000,7721.0100000,29197
28/07/03,000000,7730.0000000,7794.9000000,7152.5000000,7355.0000000,29731
04/08/03,000000,7355.0000000,7520.0000000,7215.0000000,7425.0000000,34120
